Patron,Tipo
precio,Transacional
compra,Transacional
venta,Transacional
oferta,Transacional
barato,Transacional
barata,Transacional
tienda,Transacional
que,Informacional
cuando,Informacional
cuanto,Informacional
cuantos,Informacional
donde,Informacional
como,Informacional
mejor,Informacional
cual,Informacional
cuales,Informacional
porque,Informacional
quien,Informacional
